prompt,intent
Tell me about your test‑day routine for IELTS.,ielts_experience
How did you manage time in the reading section?,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
What strategy works best for listening multiple choice?,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
How did you manage time in the reading section?,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
How did you manage time in the reading section?,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
How did you manage time in the reading section?,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
How did you manage time in the reading section?,ielts_experience
How did you manage time in the reading section?,ielts_experience
How did you manage time in the reading section?,ielts_experience
How did you manage time in the reading section?,ielts_experience
How did you manage time in the reading section?,ielts_experience
How did you manage time in the reading section?,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
How did you manage time in the reading section?,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
Tell me about your test‑day routine for IELTS.,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
How did you manage time in the reading section?,ielts_experience
How did you manage time in the reading section?,ielts_experience
What strategy works best for listening multiple choice?,ielts_experience
Any tips for IELTS speaking part 2?,ielts_experience
Share your experience of taking the IELTS exam.,ielts_experience
What strategy works best for listening multiple choice?,ielts_experience
Boost my confidence for tomorrow's speaking test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I feel stuck, can you encourage me?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I feel stuck, can you encourage me?",encouragement
"I feel stuck, can you encourage me?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I feel stuck, can you encourage me?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
"I feel stuck, can you encourage me?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
"I feel stuck, can you encourage me?",encouragement
Give me a pep talk before my IELTS test.,encouragement
"I feel stuck, can you encourage me?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Give me a pep talk before my IELTS test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I feel stuck, can you encourage me?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Give me a pep talk before my IELTS test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Give me a pep talk before my IELTS test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Give me a pep talk before my IELTS test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
"I feel stuck, can you encourage me?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
Give me a pep talk before my IELTS test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Give me a pep talk before my IELTS test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I feel stuck, can you encourage me?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I feel stuck, can you encourage me?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
"I feel stuck, can you encourage me?",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I feel stuck, can you encourage me?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I feel stuck, can you encourage me?",encouragement
Give me a pep talk before my IELTS test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
Give me a pep talk before my IELTS test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I'm nervous about my exam, please motivate me.",encouragement
"I just failed a mock test, can you cheer me up?",encouragement
"I feel stuck, can you encourage me?",encouragement
"I'm nervous about my exam, please motivate me.",encouragement
Give me a pep talk before my IELTS test.,encouragement
"I feel stuck, can you encourage me?",encouragement
Give me a pep talk before my IELTS test.,encouragement
"I just failed a mock test, can you cheer me up?",encouragement
Give me a pep talk before my IELTS test.,encouragement
"I feel stuck, can you encourage me?",encouragement
Give me a pep talk before my IELTS test.,encouragement
Give me a pep talk before my IELTS test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
Boost my confidence for tomorrow's speaking test.,encouragement
"I feel stuck, can you encourage me?",encouragement
I'd like to know what functions you support.,introduction
Tell me about your capabilities.,introduction
Can you describe your skills?,introduction
Can you introduce yourself?,introduction
Show me what you can help with.,introduction
Show me what you can help with.,introduction
Explain what you are.,introduction
What can you do?,introduction
How can you assist me?,introduction
I'm curious .who are you?,introduction
I'm curious .who are you?,introduction
I'd like to know what functions you support.,introduction
What can I ask you to do?,introduction
Let me know what you're designed for.,introduction
Tell me about your capabilities.,introduction
What can I ask you to do?,introduction
I'm curious .who are you?,introduction
What can you do?,introduction
Briefly present yourself.,introduction
Explain what you are.,introduction
Show me what you can help with.,introduction
Could you describe your purpose?,introduction
What can I ask you to do?,introduction
Tell me your features.,introduction
Show me what you can help with.,introduction
Tell me about your capabilities.,introduction
How can you assist me?,introduction
Let me know what you're designed for.,introduction
What can you do?,introduction
What can I ask you to do?,introduction
How can you assist me?,introduction
"Summarize your abilities, please.",introduction
I'd like to know what functions you support.,introduction
I'd like to know what functions you support.,introduction
Explain what you are.,introduction
What can I ask you to do?,introduction
I'd like to know what functions you support.,introduction
I'm curious .who are you?,introduction
Explain what you are.,introduction
Say something about yourself.,introduction
Let me know what you're designed for.,introduction
"Summarize your abilities, please.",introduction
I'm curious .who are you?,introduction
Please introduce yourself briefly.,introduction
Briefly present yourself.,introduction
Briefly present yourself.,introduction
Could you describe your purpose?,introduction
Tell me about your capabilities.,introduction
Show me what you can help with.,introduction
Tell me your features.,introduction
"Summarize your abilities, please.",introduction
"Summarize your abilities, please.",introduction
Tell me your features.,introduction
Briefly present yourself.,introduction
How can you assist me?,introduction
Give me an overview of your abilities.,introduction
Say something about yourself.,introduction
What can you do?,introduction
What services do you provide?,introduction
Say something about yourself.,introduction
What can I ask you to do?,introduction
Briefly present yourself.,introduction
Show me what you can help with.,introduction
Say something about yourself.,introduction
Explain what you are.,introduction
Can you describe your skills?,introduction
Let me know what you're designed for.,introduction
What services do you provide?,introduction
"Summarize your abilities, please.",introduction
Let me know what you're designed for.,introduction
What can you do?,introduction
Briefly present yourself.,introduction
Briefly present yourself.,introduction
I'm curious .who are you?,introduction
Who are you and what are you capable of?,introduction
Please introduce yourself briefly.,introduction
Show me what you can help with.,introduction
I'm curious .who are you?,introduction
How can you assist me?,introduction
Say something about yourself.,introduction
What can I ask you to do?,introduction
Give me an overview of your abilities.,introduction
"Summarize your abilities, please.",introduction
What can I ask you to do?,introduction
What can I ask you to do?,introduction
Please introduce yourself briefly.,introduction
Tell me your features.,introduction
Can you introduce yourself?,introduction
Can you describe your skills?,introduction
What can I ask you to do?,introduction
I'm curious .who are you?,introduction
Tell me about your capabilities.,introduction
I'm curious .who are you?,introduction
Let me know what you're designed for.,introduction
I'd like to know what functions you support.,introduction
I'm curious .who are you?,introduction
I'm curious .who are you?,introduction
Please introduce yourself briefly.,introduction
I'd like to know what functions you support.,introduction
What services do you provide?,introduction
I'd like to know what functions you support.,introduction
Please introduce yourself briefly.,introduction
Please introduce yourself briefly.,introduction
What services do you provide?,introduction
Tell me your features.,introduction
Can you describe your skills?,introduction
Let me know what you're designed for.,introduction
Please introduce yourself briefly.,introduction
Please introduce yourself briefly.,introduction
Briefly present yourself.,introduction
Briefly present yourself.,introduction
Who are you and what are you capable of?,introduction
Please introduce yourself briefly.,introduction
What can I ask you to do?,introduction
Could you describe your purpose?,introduction
Let me know what you're designed for.,introduction
Give me an overview of your abilities.,introduction
Briefly present yourself.,introduction
Tell me about your capabilities.,introduction
Give me an overview of your abilities.,introduction
Tell me about your capabilities.,introduction
What can I ask you to do?,introduction
Could you describe your purpose?,introduction
Can you introduce yourself?,introduction
Briefly present yourself.,introduction
What's the weather like today in London?,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
What's the weather like today in London?,other
Play a trivia quiz with me.,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
Tell me a random fun fact about space.,other
Recommend a good science fiction movie.,other
Who won the football match last night?,other
What's the weather like today in London?,other
Who won the football match last night?,other
What's the weather like today in London?,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
Who won the football match last night?,other
Recommend a good science fiction movie.,other
Tell me a random fun fact about space.,other
Tell me a random fun fact about space.,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
Recommend a good science fiction movie.,other
Who won the football match last night?,other
Recommend a good science fiction movie.,other
Recommend a good science fiction movie.,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
Recommend a good science fiction movie.,other
Tell me a random fun fact about space.,other
What's the weather like today in London?,other
Play a trivia quiz with me.,other
Who won the football match last night?,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
Who won the football match last night?,other
Recommend a good science fiction movie.,other
Recommend a good science fiction movie.,other
What's the weather like today in London?,other
Who won the football match last night?,other
Who won the football match last night?,other
Recommend a good science fiction movie.,other
Who won the football match last night?,other
What's the weather like today in London?,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
Tell me a random fun fact about space.,other
Recommend a good science fiction movie.,other
Tell me a random fun fact about space.,other
Recommend a good science fiction movie.,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
Tell me a random fun fact about space.,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
What's the weather like today in London?,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
Recommend a good science fiction movie.,other
What's the weather like today in London?,other
Recommend a good science fiction movie.,other
What's the weather like today in London?,other
Who won the football match last night?,other
Who won the football match last night?,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
Recommend a good science fiction movie.,other
Recommend a good science fiction movie.,other
Recommend a good science fiction movie.,other
Who won the football match last night?,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
What's the weather like today in London?,other
Tell me a random fun fact about space.,other
Who won the football match last night?,other
Recommend a good science fiction movie.,other
Play a trivia quiz with me.,other
Who won the football match last night?,other
What's the weather like today in London?,other
Play a trivia quiz with me.,other
Recommend a good science fiction movie.,other
Tell me a random fun fact about space.,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
What's the weather like today in London?,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
Tell me a random fun fact about space.,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
Recommend a good science fiction movie.,other
Recommend a good science fiction movie.,other
Who won the football match last night?,other
What's the weather like today in London?,other
Tell me a random fun fact about space.,other
Recommend a good science fiction movie.,other
Play a trivia quiz with me.,other
Tell me a random fun fact about space.,other
Who won the football match last night?,other
Recommend a good science fiction movie.,other
Play a trivia quiz with me.,other
Who won the football match last night?,other
What's the weather like today in London?,other
What's the weather like today in London?,other
Who won the football match last night?,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
Recommend a good science fiction movie.,other
Recommend a good science fiction movie.,other
Play a trivia quiz with me.,other
Tell me a random fun fact about space.,other
Recommend a good science fiction movie.,other
What's the weather like today in London?,other
Play a trivia quiz with me.,other
Play a trivia quiz with me.,other
What's the weather like today in London?,other
